step,method,race,yacht,rmse_m
2,Линейная,2025-09-28_10-31,2025-09-28_10:31,5.555880436579865
2,Линейная,2025-10-04_10-17,2025-10-04_10:17,5.4265037723857565
2,Линейная,2025-10-05_10-20,2025-10-05_10:20,4.751393940319364
2,Линейная,2025-10-12_10-46,2025-10-12_10:46,4.594703126979069
2,Линейная,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,0.8875583848959923
2,Линейная,hamburg-elbe-alex,Hamburg_Segeln,0.8130737082376701
2,Линейная,hamburg-elbe-richard,Hamburg_Segeln,1.079645646977239
2,Линейная,hamburg-elbe-track2,Hamburg_Sailing,1.3153159774493488
2,Линейная,hamburg-elbe-track3,Hamburg_Segeln,0.7651447110216991
2,Линейная,ottawa-2016-05-25,0,3.0327796959469806
2,Линейная,ottawa-2016-06-05,0,2.824729842903297
2,Линейная,ottawa-2016-08-24,0,2.8023966715386397
2,Лагранж,2025-09-28_10-31,2025-09-28_10:31,891.5883513965191
2,Лагранж,2025-10-04_10-17,2025-10-04_10:17,4.11196373418963
2,Лагранж,2025-10-05_10-20,2025-10-05_10:20,22.79943607698464
2,Лагранж,2025-10-12_10-46,2025-10-12_10:46,3.35749224712291
2,Лагранж,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.0377083895654426
2,Лагранж,hamburg-elbe-alex,Hamburg_Segeln,1.1971708196010304
2,Лагранж,hamburg-elbe-richard,Hamburg_Segeln,1.5718534014580947
2,Лагранж,hamburg-elbe-track2,Hamburg_Sailing,2.408967298686244
2,Лагранж,hamburg-elbe-track3,Hamburg_Segeln,4.155615188824265
2,Лагранж,ottawa-2016-05-25,0,14.93360691429659
2,Лагранж,ottawa-2016-06-05,0,2085839.044901425
2,Лагранж,ottawa-2016-08-24,0,7.572804862280973
2,Кубический сплайн,2025-09-28_10-31,2025-09-28_10:31,4.2184480145374845
2,Кубический сплайн,2025-10-04_10-17,2025-10-04_10:17,3.9531846325528672
2,Кубический сплайн,2025-10-05_10-20,2025-10-05_10:20,3.4576825596454728
2,Кубический сплайн,2025-10-12_10-46,2025-10-12_10:46,3.2838861845234386
2,Кубический сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,0.7469595179007131
2,Кубический сплайн,hamburg-elbe-alex,Hamburg_Segeln,0.7280511951793202
2,Кубический сплайн,hamburg-elbe-richard,Hamburg_Segeln,0.9276152591004175
2,Кубический сплайн,hamburg-elbe-track2,Hamburg_Sailing,1.1105100569157664
2,Кубический сплайн,hamburg-elbe-track3,Hamburg_Segeln,0.8556242922843493
2,Кубический сплайн,ottawa-2016-05-25,0,2.2924668014689598
2,Кубический сплайн,ottawa-2016-06-05,0,1.8921296946860082
2,Кубический сплайн,ottawa-2016-08-24,0,2.1648305080413976
2,B-сплайн,2025-09-28_10-31,2025-09-28_10:31,4.225654240734425
2,B-сплайн,2025-10-04_10-17,2025-10-04_10:17,3.9531834325466138
2,B-сплайн,2025-10-05_10-20,2025-10-05_10:20,3.4577210786990706
2,B-сплайн,2025-10-12_10-46,2025-10-12_10:46,3.2836665892082655
2,B-сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,0.7470021668819813
2,B-сплайн,hamburg-elbe-alex,Hamburg_Segeln,0.7283835478344596
2,B-сплайн,hamburg-elbe-richard,Hamburg_Segeln,0.9300458992592575
2,B-сплайн,hamburg-elbe-track2,Hamburg_Sailing,1.1305968237955515
2,B-сплайн,hamburg-elbe-track3,Hamburg_Segeln,0.8564812103870006
2,B-сплайн,ottawa-2016-05-25,0,2.2924729592578457
2,B-сплайн,ottawa-2016-06-05,0,2.4214713036867437
2,B-сплайн,ottawa-2016-08-24,0,2.164952134760638
2,Motion-aware,2025-09-28_10-31,2025-09-28_10:31,4.436007609341314
2,Motion-aware,2025-10-04_10-17,2025-10-04_10:17,4.222527436325292
2,Motion-aware,2025-10-05_10-20,2025-10-05_10:20,3.6098244854118393
2,Motion-aware,2025-10-12_10-46,2025-10-12_10:46,3.4312012259057436
2,Motion-aware,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,0.7695656208858861
2,Motion-aware,hamburg-elbe-alex,Hamburg_Segeln,0.7213557874056193
2,Motion-aware,hamburg-elbe-richard,Hamburg_Segeln,0.923883322923723
2,Motion-aware,hamburg-elbe-track2,Hamburg_Sailing,1.032559653246154
2,Motion-aware,hamburg-elbe-track3,Hamburg_Segeln,0.7087620110290735
2,Motion-aware,ottawa-2016-05-25,0,2.203396526738206
2,Motion-aware,ottawa-2016-06-05,0,2.3727162650465172
2,Motion-aware,ottawa-2016-08-24,0,2.1555132435738686
3,Линейная,2025-09-28_10-31,2025-09-28_10:31,9.847943517800122
3,Линейная,2025-10-04_10-17,2025-10-04_10:17,8.563931401726178
3,Линейная,2025-10-05_10-20,2025-10-05_10:20,7.569066748262249
3,Линейная,2025-10-12_10-46,2025-10-12_10:46,7.630675419489376
3,Линейная,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.3516518933195827
3,Линейная,hamburg-elbe-alex,Hamburg_Segeln,1.2792670571757174
3,Линейная,hamburg-elbe-richard,Hamburg_Segeln,1.6744054604050562
3,Линейная,hamburg-elbe-track2,Hamburg_Sailing,2.3511348824806997
3,Линейная,hamburg-elbe-track3,Hamburg_Segeln,1.117520509626136
3,Линейная,ottawa-2016-05-25,0,5.509198521645233
3,Линейная,ottawa-2016-06-05,0,4.611170289812809
3,Линейная,ottawa-2016-08-24,0,4.7702239094515875
3,Лагранж,2025-09-28_10-31,2025-09-28_10:31,790.4078954200901
3,Лагранж,2025-10-04_10-17,2025-10-04_10:17,17.380730395882622
3,Лагранж,2025-10-05_10-20,2025-10-05_10:20,384.23674915827013
3,Лагранж,2025-10-12_10-46,2025-10-12_10:46,5.800068156968929
3,Лагранж,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.4498280718395733
3,Лагранж,hamburg-elbe-alex,Hamburg_Segeln,1.2494157013118339
3,Лагранж,hamburg-elbe-richard,Hamburg_Segeln,2.6419743263376194
3,Лагранж,hamburg-elbe-track2,Hamburg_Sailing,4.7032855711193955
3,Лагранж,hamburg-elbe-track3,Hamburg_Segeln,2.2336848042148696
3,Лагранж,ottawa-2016-05-25,0,7.619645650599093
3,Лагранж,ottawa-2016-06-05,0,181.50902567946966
3,Лагранж,ottawa-2016-08-24,0,5.722435236825992
3,Кубический сплайн,2025-09-28_10-31,2025-09-28_10:31,7.094979571173153
3,Кубический сплайн,2025-10-04_10-17,2025-10-04_10:17,6.464772733367794
3,Кубический сплайн,2025-10-05_10-20,2025-10-05_10:20,5.685501207084491
3,Кубический сплайн,2025-10-12_10-46,2025-10-12_10:46,5.553682594884618
3,Кубический сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.203687809214989
3,Кубический сплайн,hamburg-elbe-alex,Hamburg_Segeln,1.063619760821512
3,Кубический сплайн,hamburg-elbe-richard,Hamburg_Segeln,1.4965875484170177
3,Кубический сплайн,hamburg-elbe-track2,Hamburg_Sailing,1.7027073871491467
3,Кубический сплайн,hamburg-elbe-track3,Hamburg_Segeln,1.0477396595812836
3,Кубический сплайн,ottawa-2016-05-25,0,4.289307974035097
3,Кубический сплайн,ottawa-2016-06-05,0,3.4265355844512646
3,Кубический сплайн,ottawa-2016-08-24,0,4.007618013670891
3,B-сплайн,2025-09-28_10-31,2025-09-28_10:31,7.09988226960696
3,B-сплайн,2025-10-04_10-17,2025-10-04_10:17,6.464866534645704
3,B-сплайн,2025-10-05_10-20,2025-10-05_10:20,5.685491884403988
3,B-сплайн,2025-10-12_10-46,2025-10-12_10:46,5.5559856066325395
3,B-сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.202968571289007
3,B-сплайн,hamburg-elbe-alex,Hamburg_Segeln,1.0638285642240528
3,B-сплайн,hamburg-elbe-richard,Hamburg_Segeln,1.5282310905544754
3,B-сплайн,hamburg-elbe-track2,Hamburg_Sailing,1.807470228412622
3,B-сплайн,hamburg-elbe-track3,Hamburg_Segeln,1.0525440660293988
3,B-сплайн,ottawa-2016-05-25,0,4.310708155068438
3,B-сплайн,ottawa-2016-06-05,0,3.4265933585886663
3,B-сплайн,ottawa-2016-08-24,0,4.009076999255669
3,Motion-aware,2025-09-28_10-31,2025-09-28_10:31,7.726630843444498
3,Motion-aware,2025-10-04_10-17,2025-10-04_10:17,6.810307615333502
3,Motion-aware,2025-10-05_10-20,2025-10-05_10:20,5.880042568309222
3,Motion-aware,2025-10-12_10-46,2025-10-12_10:46,5.843804584870371
3,Motion-aware,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.1819597602099556
3,Motion-aware,hamburg-elbe-alex,Hamburg_Segeln,1.0955269089759638
3,Motion-aware,hamburg-elbe-richard,Hamburg_Segeln,1.4327984683647896
3,Motion-aware,hamburg-elbe-track2,Hamburg_Sailing,1.7273913932489104
3,Motion-aware,hamburg-elbe-track3,Hamburg_Segeln,0.971946957985378
3,Motion-aware,ottawa-2016-05-25,0,4.128478842223467
3,Motion-aware,ottawa-2016-06-05,0,3.660833378477005
3,Motion-aware,ottawa-2016-08-24,0,3.7671237500353274
5,Линейная,2025-09-28_10-31,2025-09-28_10:31,17.544354963414296
5,Линейная,2025-10-04_10-17,2025-10-04_10:17,15.964118210392797
5,Линейная,2025-10-05_10-20,2025-10-05_10:20,13.953618221615331
5,Линейная,2025-10-12_10-46,2025-10-12_10:46,15.232028595754842
5,Линейная,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,2.3175481206078814
5,Линейная,hamburg-elbe-alex,Hamburg_Segeln,2.3118351796639103
5,Линейная,hamburg-elbe-richard,Hamburg_Segeln,3.0787106317048423
5,Линейная,hamburg-elbe-track2,Hamburg_Sailing,4.627630048720072
5,Линейная,hamburg-elbe-track3,Hamburg_Segeln,2.198378685376745
5,Линейная,ottawa-2016-05-25,0,11.52567199281456
5,Линейная,ottawa-2016-06-05,0,9.372807950372872
5,Линейная,ottawa-2016-08-24,0,9.941096198636144
5,Лагранж,2025-09-28_10-31,2025-09-28_10:31,12807.482446831827
5,Лагранж,2025-10-04_10-17,2025-10-04_10:17,89.41270039155843
5,Лагранж,2025-10-05_10-20,2025-10-05_10:20,53.87253193959512
5,Лагранж,2025-10-12_10-46,2025-10-12_10:46,12.59873944318453
5,Лагранж,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,2.294657070083897
5,Лагранж,hamburg-elbe-alex,Hamburg_Segeln,3.1010782182432286
5,Лагранж,hamburg-elbe-richard,Hamburg_Segeln,3.510860261416075
5,Лагранж,hamburg-elbe-track2,Hamburg_Sailing,14.185849572440322
5,Лагранж,hamburg-elbe-track3,Hamburg_Segeln,5.2210786898921215
5,Лагранж,ottawa-2016-05-25,0,30.30076360292285
5,Лагранж,ottawa-2016-06-05,0,19886.42753338682
5,Лагранж,ottawa-2016-08-24,0,25.480473150278996
5,Кубический сплайн,2025-09-28_10-31,2025-09-28_10:31,12.924875790065846
5,Кубический сплайн,2025-10-04_10-17,2025-10-04_10:17,12.020800379436062
5,Кубический сплайн,2025-10-05_10-20,2025-10-05_10:20,10.773688802502768
5,Кубический сплайн,2025-10-12_10-46,2025-10-12_10:46,12.075144720612697
5,Кубический сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,2.120976831300794
5,Кубический сплайн,hamburg-elbe-alex,Hamburg_Segeln,2.004182490402526
5,Кубический сплайн,hamburg-elbe-richard,Hamburg_Segeln,2.752000771949647
5,Кубический сплайн,hamburg-elbe-track2,Hamburg_Sailing,4.096406463111099
5,Кубический сплайн,hamburg-elbe-track3,Hamburg_Segeln,1.945015504339205
5,Кубический сплайн,ottawa-2016-05-25,0,10.307570559010516
5,Кубический сплайн,ottawa-2016-06-05,0,34.64249700694182
5,Кубический сплайн,ottawa-2016-08-24,0,8.447015809967032
5,B-сплайн,2025-09-28_10-31,2025-09-28_10:31,13.22627629632318
5,B-сплайн,2025-10-04_10-17,2025-10-04_10:17,12.021006515194053
5,B-сплайн,2025-10-05_10-20,2025-10-05_10:20,10.77524285689792
5,B-сплайн,2025-10-12_10-46,2025-10-12_10:46,12.092712357736314
5,B-сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,2.12323130036804
5,B-сплайн,hamburg-elbe-alex,Hamburg_Segeln,2.0039747579892513
5,B-сплайн,hamburg-elbe-richard,Hamburg_Segeln,2.769710137648218
5,B-сплайн,hamburg-elbe-track2,Hamburg_Sailing,4.0054102978932615
5,B-сплайн,hamburg-elbe-track3,Hamburg_Segeln,1.979599624387143
5,B-сплайн,ottawa-2016-05-25,0,10.335196255611168
5,B-сплайн,ottawa-2016-06-05,0,34.64414849258161
5,B-сплайн,ottawa-2016-08-24,0,8.465281992950043
5,Motion-aware,2025-09-28_10-31,2025-09-28_10:31,13.751305610837576
5,Motion-aware,2025-10-04_10-17,2025-10-04_10:17,12.643926166412186
5,Motion-aware,2025-10-05_10-20,2025-10-05_10:20,11.090089485705672
5,Motion-aware,2025-10-12_10-46,2025-10-12_10:46,12.458031825290004
5,Motion-aware,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,1.9833332412801625
5,Motion-aware,hamburg-elbe-alex,Hamburg_Segeln,1.9616939229706778
5,Motion-aware,hamburg-elbe-richard,Hamburg_Segeln,2.705229639630798
5,Motion-aware,hamburg-elbe-track2,Hamburg_Sailing,3.7721679982992806
5,Motion-aware,hamburg-elbe-track3,Hamburg_Segeln,1.8170675294973708
5,Motion-aware,ottawa-2016-05-25,0,9.050141794441712
5,Motion-aware,ottawa-2016-06-05,0,7.60959678938705
5,Motion-aware,ottawa-2016-08-24,0,7.867129036605367
7,Линейная,2025-09-28_10-31,2025-09-28_10:31,26.41878932797932
7,Линейная,2025-10-04_10-17,2025-10-04_10:17,24.75689199714034
7,Линейная,2025-10-05_10-20,2025-10-05_10:20,24.113863020148408
7,Линейная,2025-10-12_10-46,2025-10-12_10:46,22.70989557410116
7,Линейная,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,3.8243737579503065
7,Линейная,hamburg-elbe-alex,Hamburg_Segeln,3.3204390156262615
7,Линейная,hamburg-elbe-richard,Hamburg_Segeln,4.726177767523181
7,Линейная,hamburg-elbe-track2,Hamburg_Sailing,7.627463650240249
7,Линейная,hamburg-elbe-track3,Hamburg_Segeln,3.5746629607401625
7,Линейная,ottawa-2016-05-25,0,19.696196582537322
7,Линейная,ottawa-2016-06-05,0,15.965713774418372
7,Линейная,ottawa-2016-08-24,0,16.013041781744928
7,Лагранж,2025-09-28_10-31,2025-09-28_10:31,5076.189856447973
7,Лагранж,2025-10-04_10-17,2025-10-04_10:17,98.1962912168458
7,Лагранж,2025-10-05_10-20,2025-10-05_10:20,292.96381590639373
7,Лагранж,2025-10-12_10-46,2025-10-12_10:46,20.015946168930867
7,Лагранж,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,4.494147166198597
7,Лагранж,hamburg-elbe-alex,Hamburg_Segeln,5.1737405589303425
7,Лагранж,hamburg-elbe-richard,Hamburg_Segeln,5.601502225949632
7,Лагранж,hamburg-elbe-track2,Hamburg_Sailing,20.61046281695841
7,Лагранж,hamburg-elbe-track3,Hamburg_Segeln,3.429787228588847
7,Лагранж,ottawa-2016-05-25,0,37.39479359023695
7,Лагранж,ottawa-2016-06-05,0,71923.24023978937
7,Лагранж,ottawa-2016-08-24,0,1590.7687698721484
7,Кубический сплайн,2025-09-28_10-31,2025-09-28_10:31,20.145946346230488
7,Кубический сплайн,2025-10-04_10-17,2025-10-04_10:17,19.853806923720796
7,Кубический сплайн,2025-10-05_10-20,2025-10-05_10:20,18.69570965514932
7,Кубический сплайн,2025-10-12_10-46,2025-10-12_10:46,18.77091727575626
7,Кубический сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,3.31699407232271
7,Кубический сплайн,hamburg-elbe-alex,Hamburg_Segeln,2.872968972004614
7,Кубический сплайн,hamburg-elbe-richard,Hamburg_Segeln,4.434672586168548
7,Кубический сплайн,hamburg-elbe-track2,Hamburg_Sailing,6.3042586575387665
7,Кубический сплайн,hamburg-elbe-track3,Hamburg_Segeln,2.7481010511777186
7,Кубический сплайн,ottawa-2016-05-25,0,16.899369692182464
7,Кубический сплайн,ottawa-2016-06-05,0,57.548290606896614
7,Кубический сплайн,ottawa-2016-08-24,0,15.645421701534278
7,B-сплайн,2025-09-28_10-31,2025-09-28_10:31,20.630340034789164
7,B-сплайн,2025-10-04_10-17,2025-10-04_10:17,20.991504832885557
7,B-сплайн,2025-10-05_10-20,2025-10-05_10:20,18.75950952682319
7,B-сплайн,2025-10-12_10-46,2025-10-12_10:46,18.789200199452715
7,B-сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,3.3198889582314766
7,B-сплайн,hamburg-elbe-alex,Hamburg_Segeln,2.902238885687966
7,B-сплайн,hamburg-elbe-richard,Hamburg_Segeln,4.4391217015863305
7,B-сплайн,hamburg-elbe-track2,Hamburg_Sailing,5.7554956619641215
7,B-сплайн,hamburg-elbe-track3,Hamburg_Segeln,2.720755067428041
7,B-сплайн,ottawa-2016-05-25,0,16.890045708148723
7,B-сплайн,ottawa-2016-06-05,0,57.5496780208603
7,B-сплайн,ottawa-2016-08-24,0,15.651168187134523
7,Motion-aware,2025-09-28_10-31,2025-09-28_10:31,21.764662624699596
7,Motion-aware,2025-10-04_10-17,2025-10-04_10:17,20.852265668151077
7,Motion-aware,2025-10-05_10-20,2025-10-05_10:20,20.05993257083176
7,Motion-aware,2025-10-12_10-46,2025-10-12_10:46,19.40151676278412
7,Motion-aware,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,3.109131133071726
7,Motion-aware,hamburg-elbe-alex,Hamburg_Segeln,2.810492330110377
7,Motion-aware,hamburg-elbe-richard,Hamburg_Segeln,4.041220552707922
7,Motion-aware,hamburg-elbe-track2,Hamburg_Sailing,6.09282818366347
7,Motion-aware,hamburg-elbe-track3,Hamburg_Segeln,2.78938959528274
7,Motion-aware,ottawa-2016-05-25,0,15.719320673574359
7,Motion-aware,ottawa-2016-06-05,0,13.13692042400577
7,Motion-aware,ottawa-2016-08-24,0,13.046622042688382
10,Линейная,2025-09-28_10-31,2025-09-28_10:31,46.60853711216093
10,Линейная,2025-10-04_10-17,2025-10-04_10:17,41.678955599035284
10,Линейная,2025-10-05_10-20,2025-10-05_10:20,36.225378547848365
10,Линейная,2025-10-12_10-46,2025-10-12_10:46,34.872086330132426
10,Линейная,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,7.164567495631026
10,Линейная,hamburg-elbe-alex,Hamburg_Segeln,5.08289437939128
10,Линейная,hamburg-elbe-richard,Hamburg_Segeln,7.270339301729413
10,Линейная,hamburg-elbe-track2,Hamburg_Sailing,13.426693129613463
10,Линейная,hamburg-elbe-track3,Hamburg_Segeln,6.332653954499659
10,Линейная,ottawa-2016-05-25,0,35.323635061197876
10,Линейная,ottawa-2016-06-05,0,24.88226021671776
10,Линейная,ottawa-2016-08-24,0,29.592394144181803
10,Лагранж,2025-09-28_10-31,2025-09-28_10:31,3482.59575196794
10,Лагранж,2025-10-04_10-17,2025-10-04_10:17,47.58641216962109
10,Лагранж,2025-10-05_10-20,2025-10-05_10:20,385.60129039006625
10,Лагранж,2025-10-12_10-46,2025-10-12_10:46,32.52811584831816
10,Лагранж,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,6.84828322893375
10,Лагранж,hamburg-elbe-alex,Hamburg_Segeln,6.845169664771475
10,Лагранж,hamburg-elbe-richard,Hamburg_Segeln,7.979153085500663
10,Лагранж,hamburg-elbe-track2,Hamburg_Sailing,44.32283803897836
10,Лагранж,hamburg-elbe-track3,Hamburg_Segeln,6.481535076439254
10,Лагранж,ottawa-2016-05-25,0,164.443140369485
10,Лагранж,ottawa-2016-06-05,0,16192.766897689642
10,Лагранж,ottawa-2016-08-24,0,383.14219160510424
10,Кубический сплайн,2025-09-28_10-31,2025-09-28_10:31,38.855862739699916
10,Кубический сплайн,2025-10-04_10-17,2025-10-04_10:17,34.87442829208116
10,Кубический сплайн,2025-10-05_10-20,2025-10-05_10:20,31.365017503803887
10,Кубический сплайн,2025-10-12_10-46,2025-10-12_10:46,30.31687213899947
10,Кубический сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,5.406051500823487
10,Кубический сплайн,hamburg-elbe-alex,Hamburg_Segeln,4.700421821233042
10,Кубический сплайн,hamburg-elbe-richard,Hamburg_Segeln,7.253964042736383
10,Кубический сплайн,hamburg-elbe-track2,Hamburg_Sailing,10.680092118459534
10,Кубический сплайн,hamburg-elbe-track3,Hamburg_Segeln,5.552626689132494
10,Кубический сплайн,ottawa-2016-05-25,0,29.082849561662563
10,Кубический сплайн,ottawa-2016-06-05,0,48.92366138459986
10,Кубический сплайн,ottawa-2016-08-24,0,23.631208821090777
10,B-сплайн,2025-09-28_10-31,2025-09-28_10:31,39.23983234529212
10,B-сплайн,2025-10-04_10-17,2025-10-04_10:17,35.49629916702637
10,B-сплайн,2025-10-05_10-20,2025-10-05_10:20,31.463217860430955
10,B-сплайн,2025-10-12_10-46,2025-10-12_10:46,30.311931217319515
10,B-сплайн,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,5.411013169760783
10,B-сплайн,hamburg-elbe-alex,Hamburg_Segeln,4.754857820435061
10,B-сплайн,hamburg-elbe-richard,Hamburg_Segeln,7.24857174431665
10,B-сплайн,hamburg-elbe-track2,Hamburg_Sailing,11.381631886296935
10,B-сплайн,hamburg-elbe-track3,Hamburg_Segeln,5.758657756118205
10,B-сплайн,ottawa-2016-05-25,0,32.79775286231149
10,B-сплайн,ottawa-2016-06-05,0,49.11836398275089
10,B-сплайн,ottawa-2016-08-24,0,23.63057346192162
10,Motion-aware,2025-09-28_10-31,2025-09-28_10:31,40.36556328062888
10,Motion-aware,2025-10-04_10-17,2025-10-04_10:17,36.67225732073068
10,Motion-aware,2025-10-05_10-20,2025-10-05_10:20,32.042291655806245
10,Motion-aware,2025-10-12_10-46,2025-10-12_10:46,30.394815113537803
10,Motion-aware,gin-sul-rund-hanskalbsand-2024-yury,Gin_Sul_Rund_Hanskalbsand_2024,5.58492728553731
10,Motion-aware,hamburg-elbe-alex,Hamburg_Segeln,4.383544916484188
10,Motion-aware,hamburg-elbe-richard,Hamburg_Segeln,6.40801918144999
10,Motion-aware,hamburg-elbe-track2,Hamburg_Sailing,11.046848874640384
10,Motion-aware,hamburg-elbe-track3,Hamburg_Segeln,5.102647334016152
10,Motion-aware,ottawa-2016-05-25,0,28.631581137645128
10,Motion-aware,ottawa-2016-06-05,0,20.210741061283652
10,Motion-aware,ottawa-2016-08-24,0,23.936432469476276
